Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2026-07-11T21:49:38.720Z,49.1840078,-123.1450668,3.9,4.05,-0.278,-0.137,0.949,0,-7.68,3.54,-5.66
2,2026-07-11T21:49:38.760Z,49.1840082,-123.1450669,3.9,4.05,-0.210,-0.075,0.960,0,-6.23,3.23,-5.66
3,2026-07-11T21:49:38.800Z,49.1840088,-123.1450668,3.9,4.14,-0.154,-0.011,0.948,0,-4.13,3.34,-4.28
4,2026-07-11T21:49:38.840Z,49.1840094,-123.1450668,3.8,3.70,-0.108,0.053,0.924,0,-0.36,3.37,-2.21
5,2026-07-11T21:49:38.880Z,49.1840098,-123.1450670,3.8,2.98,-0.077,0.118,0.899,0,4.57,4.60,0.21
6,2026-07-11T21:49:38.920Z,49.1840102,-123.1450670,3.8,2.66,-0.099,0.136,0.859,0,7.21,7.91,2.78
7,2026-07-11T21:49:38.960Z,49.1840107,-123.1450671,3.8,3.24,-0.128,0.154,0.848,0,8.35,11.50,3.96
8,2026-07-11T21:49:39.000Z,49.1840112,-123.1450671,3.8,3.55,-0.155,0.167,0.863,0,8.28,15.13,4.42
9,2026-07-11T21:49:39.040Z,49.1840119,-123.1450671,3.8,4.01,-0.180,0.175,0.897,0,6.82,19.03,4.49
10,2026-07-11T21:49:39.080Z,49.1840125,-123.1450671,3.8,4.57,-0.200,0.177,0.943,0,5.18,22.90,5.10
11,2026-07-11T21:49:39.120Z,49.1840132,-123.1450671,3.9,4.78,-0.218,0.174,0.992,0,1.55,25.46,6.49
12,2026-07-11T21:49:39.160Z,49.1840139,-123.1450672,3.9,5.31,-0.228,0.161,1.023,0,-4.12,25.72,7.82
13,2026-07-11T21:49:39.200Z,49.1840145,-123.1450672,3.9,5.10,-0.232,0.144,1.032,0,-9.38,23.77,9.25
14,2026-07-11T21:49:39.240Z,49.1840151,-123.1450671,3.9,4.69,-0.235,0.123,1.020,0,-13.70,18.92,10.44
15,2026-07-11T21:49:39.280Z,49.1840154,-123.1450671,3.9,4.23,-0.231,0.100,0.981,0,-15.46,9.99,10.22
16,2026-07-11T21:49:39.320Z,49.1840160,-123.1450672,3.9,4.32,-0.221,0.082,0.935,0,-12.53,-0.75,9.06
17,2026-07-11T21:49:39.360Z,49.1840165,-123.1450671,3.8,4.09,-0.210,0.072,0.899,0,-8.07,-12.11,6.91
18,2026-07-11T21:49:39.400Z,49.1840170,-123.1450672,3.8,3.71,-0.195,0.067,0.876,0,-4.30,-21.76,3.83
19,2026-07-11T21:49:39.440Z,49.1840175,-123.1450672,3.8,4.11,-0.174,0.065,0.870,0,-1.10,-27.80,0.69
20,2026-07-11T21:49:39.480Z,49.1840181,-123.1450672,3.8,4.42,-0.155,0.066,0.882,0,0.15,-28.94,-1.55
21,2026-07-11T21:49:39.520Z,49.1840186,-123.1450672,3.8,4.54,-0.132,0.064,0.903,0,0.62,-25.58,-2.44
22,2026-07-11T21:49:39.560Z,49.1840192,-123.1450674,3.8,4.54,-0.111,0.061,0.927,0,1.91,-19.38,-1.69
23,2026-07-11T21:49:39.600Z,49.1840198,-123.1450674,3.8,4.29,-0.092,0.056,0.951,0,4.19,-12.41,0.03
24,2026-07-11T21:49:39.640Z,49.1840203,-123.1450676,3.8,4.14,-0.081,0.054,0.972,0,7.23,-6.57,2.25
25,2026-07-11T21:49:39.680Z,49.1840207,-123.1450676,3.8,3.74,-0.083,0.056,0.988,0,10.23,-3.73,3.95
26,2026-07-11T21:49:39.720Z,49.1840211,-123.1450676,3.8,3.66,-0.089,0.063,0.997,0,12.50,-4.35,3.99
27,2026-07-11T21:49:39.760Z,49.1840216,-123.1450677,3.8,4.13,-0.097,0.073,1.006,0,13.06,-8.54,2.61
28,2026-07-11T21:49:39.800Z,49.1840219,-123.1450676,3.8,3.59,-0.093,0.081,1.009,0,10.57,-16.26,-0.20
29,2026-07-11T21:49:39.840Z,49.1840224,-123.1450676,3.8,3.75,-0.075,0.087,1.001,0,7.91,-24.23,-2.86
30,2026-07-11T21:49:39.880Z,49.1840230,-123.1450678,3.7,3.96,-0.049,0.092,0.982,0,6.11,-29.98,-3.49
31,2026-07-11T21:49:39.920Z,49.1840236,-123.1450679,3.7,4.48,-0.025,0.099,0.953,0,5.52,-32.34,-1.79
32,2026-07-11T21:49:39.960Z,49.1840240,-123.1450679,3.7,4.22,-0.010,0.106,0.912,0,3.83,-28.77,2.40
33,2026-07-11T21:49:40.000Z,49.1840245,-123.1450679,3.7,4.19,-0.005,0.113,0.874,0,1.87,-22.70,7.35
34,2026-07-11T21:49:40.040Z,49.1840249,-123.1450679,3.7,3.94,-0.006,0.114,0.841,0,-3.13,-16.40,11.56
35,2026-07-11T21:49:40.080Z,49.1840253,-123.1450679,3.7,3.23,0.001,0.106,0.815,0,-7.57,-11.35,13.82
36,2026-07-11T21:49:40.120Z,49.1840258,-123.1450680,3.7,2.60,0.016,0.091,0.802,0,-9.32,-8.69,14.01
37,2026-07-11T21:49:40.160Z,49.1840262,-123.1450681,3.6,2.72,0.046,0.075,0.796,0,-5.87,-9.41,12.44
38,2026-07-11T21:49:40.200Z,49.1840266,-123.1450681,3.6,2.63,0.082,0.058,0.802,0,0.42,-10.62,11.56
39,2026-07-11T21:49:40.240Z,49.1840272,-123.1450683,3.5,3.08,0.120,0.044,0.815,0,4.70,-13.53,11.80
40,2026-07-11T21:49:40.280Z,49.1840277,-123.1450683,3.5,2.57,0.154,0.032,0.828,0,6.65,-17.52,13.34
41,2026-07-11T21:49:40.320Z,49.1840280,-123.1450681,3.5,2.23,0.187,0.018,0.844,0,5.82,-21.89,15.04
42,2026-07-11T21:49:40.360Z,49.1840284,-123.1450684,3.4,2.02,0.218,0.006,0.859,0,3.03,-26.99,16.33
43,2026-07-11T21:49:40.400Z,49.1840289,-123.1450686,3.3,1.63,0.247,-0.004,0.872,0,-0.95,-30.89,16.25
44,2026-07-11T21:49:40.440Z,49.1840290,-123.1450687,3.3,1.21,0.277,-0.012,0.883,0,-5.03,-32.00,14.94
45,2026-07-11T21:49:40.480Z,49.1840293,-123.1450687,3.3,1.30,0.302,-0.017,0.891,0,-10.01,-30.15,12.74
46,2026-07-11T21:49:40.520Z,49.1840297,-123.1450688,3.2,1.11,0.321,-0.021,0.893,0,-15.78,-24.44,9.11
47,2026-07-11T21:49:40.560Z,49.1840299,-123.1450689,3.2,0.75,0.341,-0.028,0.896,0,-20.28,-16.87,3.09
